keys,vi,en
@CREDIT_MIXKIT,Mixkit (mixkit.co) cung cấp sound effect miễn phí cho game,MusMus (musmus.main.jp) for providing free sound effects for the game
@CREDIT_PIXABAY,Pixabay (pixabay.com) cung cấp sound effect miễn phí cho game,Pixabay (pixabay.com) for providing free sound effects for the game
@CREDIT_RIGOR_MORTIS,"Rigor Mortis: Test game, góp ý và gợi ý tưởng cho game","Rigor Mortis: Testing out the game, provide feedback and ideas for the game"
@CREDIT_BILITIS,Bilitis: Test game phiên bản web trên điện thoại,Bilitis: Testing the web version of the game on mobile
@LANGUAGE_PREFERENCE,Chọn ngôn ngữ,Select Language
@FULLSCREEN_PREFERENCE,Bạn có muốn game ở chế độ toàn màn hình?,Do you want the game to be in fullscreen?
@PLAY_TUTORIAL,Bạn có muốn chú Chó dễ thương này hướng dẫn bạn cách chơi game không?,Do you want this cute Dog to show you how to play the game?
@PLAY_TUTORIAL_YES,Có chứ (Tôi rất thích chó!),Yes please (I love dogs!)
@PLAY_TUTORIAL_NO,Không (Tôi có chơi game này rồi),Nah (I have played this game before)
@YES,Có,Yes
@NO,Không,No
@OK,Ok,Ok
@NEED_LOGGED_IN_WITH_STEAM,Chỉ chơi được nếu bạn đã đăng nhập vào tài khoản Steam,Only available if you are logged in with Steam
@HIGHSCORE,Điểm ,High score
@FASTESTTIME,Thời gian,Time score
@HIGHSCORE_DESCRIPTION,Bảng xếp hạng người chơi có số điểm online cao nhất,Ranking table of players with the highest online score
@FASTESTTIME_DESCRIPTION,Bảng xếp hạng người chơi hoàn thành màn cuối với thời gian nhanh nhất,Ranking table of players completing the final stage with the fastest time
@SELECT_PLAYER_DATA?,Bạn muốn sử dụng dữ liệu từ Steam hay máy tính (Lưu ý: hành động này sẽ xóa dữ hiện có trong máy tính hoặc Steam của bạn),Do you like to use data from Steam or computer (This action will delete data from your computer or your Steam)
@VICTORYCOUNT,Hoàn thành,Victory
@VICTORYCOUNT_DESCRIPTION,Bảng xếp hạng người chơi có số lần hoàn thành màn cuối nhiều lần nhất,Leaderboard for players who have completed the final level the most times
@COMPUTER,Máy tính,Computer
@STEAM,Steam,Steam
@BUY,Mua,Buy
@QUIT_GAME_STEAM_DISCONNECTED,"Mất kết nối với Steam, vui lòng đăng nhập vào Steam và khởi động lại trò chơi.","Steam disconnected, please login to Steam again and restart the game."
@LOBBY,Đánh Online - Sảnh,Room Listing - Lobby
@REFRESH,Làm mới,Refresh
@ROOM,Phòng đợi,Room
@ROOM_NAME,Tên phòng,Room name
@ROOM_CODE,Mã phòng,Room code
@CREATE_ROOM,Tạo phòng,Create Room
@CREATE,Tạo,Create
@CREATING_ROOM,Tạo phòng...,Creating Room...
@ROOM_CREATE_FAILED,"Tạo phòng thất bại, vui lòng thử lại","Create room failed, please try again"
@JOIN_WITH_CODE,Vào phòng bằng mã,Join room with code
@JOIN,Vào,Join
@ROOM_JOINING,Tham gia phòng...,Joining room...
@ROOM_NOT_EXIST,Phòng không tồn tại,Room does not exist
@ROOM_JOIN_FAILED_FULL,"Tham gia phòng thất bại, phòng đã đầy","Join room failed, room is full"
@ROOM_JOIN_FAILED,Tham gia phòng thất bại,Join room failed
@AUTO_MATCHMAKING,Tự động tìm phòng,Auto match-making
@MATCHMAKING_FAILED,Tìm phòng thất bại,Match making failed
@FINDING,Đang tìm...,Finding...
@ROOM_JOINED,Đã vào phòng,Room joined
@ROOM_CREATED,Đã tạo phòng,Room created
@LOADING,Đang tải...,Loading...
@SLOT_EMPTY,Trống,Empty
@OWNER,Chủ phòng,Owner
@NOT_READY,Chưa sẵn sàng,Not ready
@READY,Sẵn sàng,Ready
@UNREADY,Hủy sẵn sàng,Unready
@START,Vào Game,Start Game
@ROOM_LOST_CONNECTION,Lỗi: Mất kết nối với phòng,Error: Lost connection to room
@STARTING_GAME,Đang bắt đầu game...,Starting game...
@COPY,Copy,Copy
@SEND,Gửi,Send
@PLAYER_HAS_LEFT,đã thoát phòng,has left the room
@PLAYER_HAS_JOINED,đã vào phòng,has joined the room
@WAITTING_FOR_OTHER_PLAYER_IN_BATTLE,Đợi đối phương vào game...,Waiting for other player to enter game...
@IS_NEW_ROOM_OWNER,đã trở thành chủ phòng,is the new room owner
@CONNECTING_TO_PLAYER,Đang kết nối với,Connecting to
@CONNECTION_ESTABLISHED_WITH,Kết nối thành công với,Connection established with
@FAILED_TO_CONNECT_WITH,Kết nối thất bại với,Failed to connect with
@HAS_DISCONNECTED,đã dừng kết nối,has disconnected
@HAS_CREATED_CONNECTION,đã tạo kết nối,has created a connection
@RECONNECTING_WITH,Kết nối lại với,Reconnecting with
@OTHER_PLAYER_LEFT,Đối phương đã thoát game,Other play has left
@RECONNECT_FAILED,Kết nối thất bại,Reconnect failed
@RECONNECTING,Đã mất kết nối. Đang kết nối lại...,Disconnected. Reconnecting...
@GAME_LOST_CONNECTION,Lỗi: Mất kết nối với game,Error: Lost connection to game
@BACK_TO_ROOM,Quay về phòng,Back to room
@SURRENDER,Đầu hàng,Surrender
@SURRENDER_WARNING,Bạn có thật sự muốn đầu hàng?,Are you sure you want to surrender?
@STAGE_WIDTH,Chiều dài mặt trận,Stage width
@DOG_TOWER_HEALTH,Máu thành,Tower health
@MONEY_EFFICIENCY_LEVEL,Năng suất tạo tiền,Money efficiency
@POWER_LEVEL,Cấp Sức mạnh,Power Level
@THEME,Nền,Theme
@THEME_green_grass,Cỏ xanh,Green grass
@THEME_fall,Mùa thu,Fall
@THEME_heavenly,Thiên Đàng,Heavenly
@THEME_night,Đêm,Night
@THEME_nightmare,Ác mộng,Nightmare
@THEME_winter,Mùa đông,Winter
@EXPLORATION,Thám hiểm,Exploration
@ITEM,Vật phẩm,Item
